"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/01/12", "78", "2.3", "28.3", "70.5", "31.4", "1013.9", "0.0", ""
"22/02/04", "45", "2.4", "27.4", "82.7", "31.0", "1011.3", "18.6", ""
"22/02/09", "203", "5.0", "28.9", "86.7", "36.0", "1011.1", "0.0", ""
"22/02/10", "217", "4.0", "28.6", "82.7", "34.3", "1010.3", "0.0", ""
"22/03/09", "218", "2.5", "29.4", "79.7", "35.9", "1009.3", "0.0", ""
"22/04/13", "189", "4.3", "30.3", "82.0", "39.3", "1006.1", "0.0", ""
"22/04/28", "214", "5.6", "29.0", "91.1", "37.5", "1008.2", "15.4", ""
"22/05/11", "211", "5.0", "29.5", "91.0", "39.0", "1008.1", "0.0", ""
"22/06/15", "172", "2.3", "28.9", "92.6", "37.2", "1009.3", "21.0", ""
"22/06/16", "205", "3.7", "30.0", "84.8", "39.0", "1009.6", "2.6", ""
"22/07/01", "232", "6.7", "29.9", "80.3", "37.4", "1003.9", "0.0", ""
"22/07/13", "324", "1.0", "26.1", "94.0", "28.4", "1004.7", "6.4", ""
"22/08/10", "253", "6.3", "29.3", "78.5", "35.2", "1005.6", "0.0", ""
"22/08/11", "234", "5.7", "28.7", "83.0", "34.6", "1006.5", "3.2", ""
"22/09/14", "200", "1.2", "27.8", "92.5", "33.5", "1010.3", "6.2", ""
"22/09/16", "224", "3.9", "29.4", "79.0", "35.8", "1007.0", "0.0", ""
"22/10/08", "57", "1.8", "28.5", "86.3", "34.7", "1011.3", "0.0", ""
"22/10/13", "58", "2.6", "28.2", "62.2", "30.0", "1010.1", "0.0", ""
"22/10/17", "10", "0.7", "27.0", "70.9", "28.9", "1013.4", "0.0", ""
"22/10/18", "56", "1.8", "28.2", "58.6", "29.6", "1009.6", "0.0", ""
"22/10/19", "63", "3.3", "28.4", "57.4", "29.8", "1010.3", "0.0", ""
"22/10/20", "61", "2.5", "29.0", "58.0", "30.8", "1011.3", "0.0", ""
"22/10/21", "29", "0.6", "28.3", "81.5", "33.1", "1012.6", "0.0", ""
"22/10/22", "62", "1.5", "29.9", "80.2", "37.5", "1012.4", "0.8", ""
"22/10/23", "2", "1.4", "29.9", "75.8", "36.4", "1011.9", "0.0", ""
"22/10/24", "67", "0.9", "31.0", "70.1", "37.5", "1011.2", "0.0", ""
"22/10/25", "34", "1.9", "30.9", "63.7", "35.6", "1010.8", "0.0", ""
"22/10/26", "61", "2.1", "29.4", "79.8", "35.8", "1010.5", "2.7", ""
"22/10/27", "41", "2.0", "28.6", "91.1", "35.8", "1010.2", "0.0", ""
"22/10/28", "52", "3.4", "29.3", "68.7", "33.2", "1009.5", "0.0", ""
"22/10/29", "46", "4.1", "29.1", "55.4", "30.5", "1010.1", "0.0", ""
"22/10/30", "48", "2.6", "29.8", "55.5", "31.7", "1009.8", "0.0", ""
"22/10/31", "61", "2.3", "29.0", "59.3", "31.0", "1010.7", "0.0", ""
"22/11/01", "60", "2.0", "27.7", "60.4", "29.0", "1011.2", "0.0", ""
"22/11/02", "69", "1.5", "27.5", "58.3", "28.6", "1010.4", "0.0", ""
"22/11/03", "77", "0.9", "27.4", "52.1", "27.9", "1011.8", "0.0", ""
"22/11/04", "52", "2.2", "28.3", "47.4", "28.5", "1013.1", "0.0", ""
"22/11/05", "66", "1.9", "28.4", "58.7", "30.0", "1014.3", "0.0", ""
"22/11/06", "58", "1.2", "29.5", "62.8", "32.4", "1013.2", "0.0", ""
"22/11/07", "61", "1.1", "28.7", "64.3", "31.2", "1012.7", "0.0", ""
"22/11/08", "50", "1.2", "28.5", "54.6", "29.5", "1012.5", "0.0", ""
"22/11/09", "27", "1.5", "28.0", "67.5", "30.3", "1012.8", "0.0", ""
"22/11/10", "18", "1.3", "29.7", "60.8", "32.4", "1011.7", "0.0", ""
"22/11/11", "12", "1.1", "30.3", "64.9", "34.5", "1011.1", "0.0", ""
"22/11/12", "11", "0.7", "30.8", "69.6", "36.9", "1010.2", "0.0", ""
"22/11/13", "43", "1.0", "29.4", "76.8", "35.0", "1010.4", "3.2", ""
"22/11/14", "34", "1.4", "28.2", "91.8", "34.9", "1010.9", "2.4", ""
"22/11/15", "53", "0.7", "29.7", "84.2", "37.9", "1010.2", "0.0", ""
"22/11/16", "348", "0.2", "28.1", "92.9", "34.7", "1009.4", "37.5", ""
"22/11/17", "169", "1.5", "28.8", "92.6", "36.9", "1009.9", "1.7", ""
"22/11/18", "37", "0.2", "27.7", "97.0", "33.8", "1010.9", "0.0", ""
"22/11/19", "19", "1.1", "31.0", "75.3", "39.4", "1009.0", "0.0", ""
"22/11/20", "25", "0.8", "27.4", "90.6", "32.0", "1008.3", "4.1", ""
"22/11/21", "11", "1.3", "29.4", "77.0", "35.2", "1007.5", "0.0", ""
"22/11/22", "49", "1.2", "30.6", "77.6", "38.7", "1007.7", "0.0", ""
